存命,名前, 現在地,年齢, 性別,子供の数(1親等),父親,母親,誕生日,出袋日,移動歴,没日,写真集
No,ラム,東山動植物園,23,オス,1,,,1988/4/28,,多摩→東山,2012/3/30,
Yes,のぞみ,淡路ファームパークイングランドの丘,17,メス,0,,,2008/3/1,,ヤンチャップ国立公園→淡路(2011),,
No,ミリー,多摩動物公園,16,メス,2,ラム (https://www.notion.so/221b211f99a380efbd25fb75b438e22e?pvs=21),カルゴア (https://www.notion.so/221b211f99a380da8d48e0b16f30296a?pvs=21),2000/8/23,,2000/08/23 東山動植物園→2001/11/15 多摩動物公園→金沢→東山→多摩,2017/1/30,
No,ピックス,平川動物公園,15,オス,1,ジェックス (https://www.notion.so/228b211f99a3800797bfe2479fb20ae7?pvs=21),ピコ (https://www.notion.so/228b211f99a380ccb9bbc07da3fa5f43?pvs=21),2003/6/28,,2003/6/28 平川動物公園→王子→2011/5/18 多摩動物公園→2012/1/24 王子動物園→2013/12/5 平川動物公園,2019/1/21,
No,ティリー,東山動植物園,15,メス,5,,,2009/12/15,,2009/12/15 タロンガ動物園→2014/10 東山動植物園,2024/12/25,tilly_241025_1.jpg
No,ウメ,王子動物園,12,メス,3,パイン (https://www.notion.so/221b211f99a3807daca3dc7a0b600068?pvs=21),モミジ (https://www.notion.so/221b211f99a380619f72c7cf2fb72682?pvs=21),2010/8/5,,金沢→王子(2013/12/26)→？→平川,2022/11/21,
Yes,だいち,淡路ファームパークイングランドの丘,12,オス,0,アーク (https://www.notion.so/221b211f99a380598b6edc0628702b80?pvs=21),ゆめ (https://www.notion.so/221b211f99a380b3b7c2c6ae64ff1372?pvs=21),2013/8/18,,,,
No,ミライ,平川動物公園,11,メス,1,ライタ (https://www.notion.so/228b211f99a380c2a141d80f0d98f4fa?pvs=21),ミリー (https://www.notion.so/221b211f99a380b383b1c3f14ecd3297?pvs=21),2008/10/25,2009/4/27,2008/10/25 多摩動物公園→2016/10/3 埼玉こども動物自然公園→2017/7/15 多摩動物公園→2017/9/25 東山動植物園→2018 5 平川,2020/6/10,
Yes,ウミ,淡路ファームパークイングランドの丘,11,メス,3,ウルル (https://www.notion.so/221b211f99a3806c87b7f8acc76a9a53?pvs=21),ウメ (https://www.notion.so/221b211f99a380599290c588163d6f5d?pvs=21),2014/6/13,,2014/6/13 王子動物園→2021/9/15 淡路ファームパークイングランドの丘,,
Yes,ホリー,東山動植物園,11,メス,4,,,2013/12/25,,,,tmp.png
No,モモジ,王子動物園,10,オス,1,,,1997/2/7,,1997/02/07 金沢動物園→2001/6/27 王子動物園,2007/2/17,
No,ハニー,埼玉こども動物自然公園,10,メス,0,ピース♂ (https://www.notion.so/221b211f99a380a796e7e68d8ccc7c5d?pvs=21),ライチ (https://www.notion.so/221b211f99a380c2a6fde07a3dd3adcb?pvs=21),2014/8/3,,,2024/8/15,
No,ウルル,,10,オス,2,,,2007/5/26,,2007/05/26 東山動植物園→2013/10/23 王子動物園,2017/12/18,
No,ユメ,平川動物公園,10,メス,5,フランク (https://www.notion.so/221b211f99a3804fb698cd0ab4b6e631?pvs=21),ブランディ (https://www.notion.so/221b211f99a3808dab81cf8cb55d3688?pvs=21),2015/1/2,,,2025/3/23,
No,ジンベラン,埼玉こども動物自然公園,10,メス,2,,,2013/2/23,,ドリームワールド→2015/1/15 埼玉県こども動物自然公園,2023/7/8,
No,タイチ,平川動物公園,10,オス,6,ティムタム (https://www.notion.so/221b211f99a38049aeceebac9c0eaa95?pvs=21),ライチ (https://www.notion.so/221b211f99a380c2a6fde07a3dd3adcb?pvs=21),2012/5/3,,埼玉→東山→多摩(2014/11/25)→東山(2018/5/21)→平川(2022/6/14),2022/9/29,
